521,746,600,336,70,56,6
652,923,783,358,82,66,6
803,1192,1077,374,105,82,6
890,1312,1210,390,112,88,6
306,421,312,380,63,50,6
306,424,319,396,62,48,6
306,418,311,334,59,50,6
306,421,310,343,62,48,6
308,433,325,378,65,52,6
312,438,329,395,63,52,6
316,448,336,440,64,53,6
323,452,333,394,65,51,6
326,451,329,350,63,51,6
326,462,343,402,67,52,6
330,467,348,397,67,52,6
336,467,348,398,66,52,6
347,483,365,403,67,52,6
355,503,379,408,66,47,6
373,532,399,399,64,48,6
413,573,440,335,64,50,6
521,745,591,324,70,56,6
732,1011,866,325,83,69,6
787,1161,1029,361,94,80,6
865,1290,1177,389,103,83,6
911,1355,1272,399,107,87,6
919,1389,1299,409,109,88,6
306,416,306,353,63,50,6
310,423,313,365,63,50,6
307,427,312,332,62,51,6
305,419,303,328,61,48,6
313,433,324,410,64,51,6
323,454,348,498,66,51,6
327,468,357,517,67,53,6
327,454,343,402,63,50,6
329,457,320,281,60,50,6
337,476,351,392,66,52,6
341,486,370,420,67,54,6
350,494,373,394,67,52,6
360,508,382,364,65,52,6
371,535,404,376,64,48,6
415,598,455,329,63,52,6
524,757,599,322,67,56,6
714,1062,934,360,89,71,6
838,1267,1137,380,95,84,6
892,1332,1246,396,101,85,6
912,1375,1296,422,104,87,6
924,1398,1325,440,109,86,6
312,431,313,394,67,50,6
307,421,305,360,66,50,6
316,435,323,418,65,52,6
311,441,329,424,62,52,6
311,454,343,437,64,47,6
318,445,326,428,63,52,6
325,462,358,532,70,53,6
330,477,368,537,67,53,6
337,474,360,481,67,53,6
333,473,348,363,66,52,6
344,484,368,385,65,52,6
357,505,383,389,65,50,6
380,542,406,393,66,54,6
406,579,437,325,70,55,6
468,657,523,336,73,58,6
589,812,657,326,78,61,6
717,1030,896,392,84,68,6
886,1291,1204,440,109,88,6
